raceId,driverId,stop,lap,constructorId,grid,laps,position,circuitId,podium
1032,832,2,66,1,3,70,9,70,0
1032,840,1,33,211,12,71,7,70,0
1032,841,1,39,51,19,70,14,70,0
1032,842,2,49,213,7,70,15,70,0
1032,846,1,39,1,9,71,5,70,0
1032,847,1,34,3,11,69,16,70,0
1032,848,1,35,9,6,71,4,70,0
1032,849,1,32,3,18,69,17,70,0
1033,1,3,66,131,1,70,1,11,1
1033,8,2,33,51,20,69,15,11,0
1033,20,2,29,6,5,69,6,11,0
1033,154,1,34,210,0,69,16,11,0
1033,815,2,35,211,4,69,7,11,0
1033,817,2,43,4,11,69,8,11,0
1033,822,3,49,131,2,70,3,11,1
1033,825,1,35,210,0,69,10,11,0
1033,826,2,18,213,17,69,12,11,0
1033,830,2,36,9,7,70,2,11,1
1033,832,2,40,1,9,69,9,11,0
1033,839,2,31,4,14,69,14,11,0
1033,840,3,52,211,3,70,4,11,0
1033,841,3,40,51,19,69,17,11,0
1033,844,2,20,6,6,69,11,11,0
1033,846,2,35,1,8,69,13,11,0
1033,847,3,50,3,12,69,18,11,0
1033,848,2,34,9,13,70,5,11,0
1033,849,5,52,3,15,65,19,11,0
1034,1,1,13,131,1,52,1,9,1
1034,8,2,47,51,16,51,17,9,0
1034,20,1,12,6,10,52,10,9,0
1034,154,1,36,210,17,52,16,9,0
1034,817,1,12,4,8,52,4,9,0
1034,822,2,50,131,2,52,11,9,0
1034,830,2,50,9,3,52,2,9,1
1034,832,2,51,1,7,52,13,9,0
1034,839,1,12,4,9,52,6,9,0
1034,840,1,13,211,6,52,9,9,0
1034,841,1,12,51,15,52,14,9,0
1034,842,1,12,213,11,52,7,9,0
1034,844,1,13,6,4,52,3,9,1
1034,846,1,12,1,5,52,5,9,0
1034,847,1,12,3,20,52,12,9,0
1034,848,2,30,9,12,52,8,9,0
1034,849,1,12,3,18,52,15,9,0
1035,1,2,41,131,2,52,2,9,1
1035,8,1,26,51,20,51,15,9,0
1035,20,2,33,6,11,52,12,9,0
1035,154,2,38,210,13,51,16,9,0
